X,Y,NAME,POP_EST
-69.9742007503,12.5169352691,Aruba,103065
66.0084474495,33.8362669104,Afghanistan,28400000
17.5369849738,-12.2923156433,Angola,12799293
-63.0585712468,18.2256925109,Anguilla,14436
20.0538191929,41.1424819821,Albania,3639453
20.0555828218,60.1864472514,Aland,27153
1.5607562411,42.541326525,Andorra,83888
54.3007955318,23.9057831723,United Arab Emirates,4798491
-65.1781905528,-35.3875510414,Argentina,40913584
44.9323012181,40.2881341539,Armenia,2967004
-170.3989265695,-14.2549441505,American Samoa,65628
19.9083992135,-80.5082193688,Antarctica,3802
123.5863677864,-12.4325771768,Ashmore and Cartier Is.,-99
68.9921340448,-49.0651514707,Fr. S. Antarctic Lands,140
-61.7917324622,17.2843802347,Antigua and Barb.,85632
134.4911187878,-25.7323105391,Australia,21262641
14.1306728678,47.5856569229,Austria,8210281
47.5421112596,40.2891189866,Azerbaijan,8238672
29.8750826944,-3.3574253364,Burundi,8988091
4.6399605033,50.6374616365,Belgium,10414336
2.3287407455,9.6412167695,Benin,8791832
-1.7555276642,12.2695539086,Burkina Faso,15746232
90.2419998721,23.8456776713,Bangladesh,156050883
25.2175126245,42.7685225822,Bulgaria,7204687
50.546619369,26.0527843897,Bahrain,727785
-76.5512522125,24.2228092816,Bahamas,309156
17.7734080263,44.1717340837,Bosnia and Herz.,4613414
-79.9878658593,15.7950099634,Bajo Nuevo Bank (Petrel Is.),-99
-62.8326196249,17.9055845218,St-Barthélemy,7448
28.0335664598,53.5318804821,Belarus,9648533
-88.6938885312,17.2083186922,Belize,307899
-64.7634913826,32.3101365781,Bermuda,67837
-64.6847535616,-16.7068768593,Bolivia,9775246
-53.0924823624,-10.7808588289,Brazil,198739269
-59.5612177481,13.1810538268,Barbados,284589
114.727245755,4.5165003154,Brunei,388190
90.4044602012,27.4217565624,Bhutan,691141
23.7989867328,-22.185772321,Botswana,1990876
20.4648091971,6.5663218602,Central African Rep.,4511488
-100.713461324,60.6679913079,Canada,33487208
8.2153536979,46.7989568804,Switzerland,7604467
-71.3643742495,-37.7436061219,Chile,16601707
103.8315717445,36.5601151532,China,1338612968
-5.5690001782,7.6279665223,Côte d'Ivoire,20617068
-109.2212642425,10.2973893837,Clipperton I.,-99
