X,Y,NAME,POP_EST
-7789492.39618828,1395341.49239035,Aruba,103065
7348026.75813727,3983046.35257899,Afghanistan,28400000
1952208.23733003,-1369902.77908159,Angola,12799293
-7019648.04134537,2050625.36648714,Anguilla,14436
2232380.94101379,5005261.06890265,Albania,3639453
2232577.26728304,8404256.84648105,Aland,27153
173742.590008697,5213517.29539251,Andorra,83888
6044736.9082695,2724622.68680682,United Arab Emirates,4798491
-7255602.98316396,-4191928.37838361,Argentina,40913584
5001840.89177205,4880266.44010926,Armenia,2967004
-18968721.7374378,-1592966.79040444,American Samoa,65628
2216192.86295887,-15830791.907033,Antarctica,3802
13757571.530977,-1385785.1283488,Ashmore and Cartier Is.,-99
7680169.23060628,-6253626.12647535,Fr. S. Antarctic Lands,140
-6878624.19292222,1941265.24732072,Antigua and Barb.,85632
14971482.8596757,-2947418.32423017,Australia,21262641
1573019.30821259,6006636.11623304,Austria,8210281
5292363.61666049,4880409.60124712,Azerbaijan,8238672
3325678.99295009,-371460.363110186,Burundi,8988091
516518.040523807,6524357.93000265,Belgium,10414336
259234.233976,1071205.01642739,Benin,8791832
-195424.445653749,1367326.19264726,Burkina Faso,15746232
10045693.4739329,2717346.62147755,Bangladesh,156050883
2807200.6644335,5247781.49732906,Bulgaria,7204687
5626823.92948389,2986859.13355202,Bahrain,727785
-8521646.41588504,2763057.14271223,Bahamas,309156
1978526.73114452,5462272.48337495,Bosnia and Herz.,4613414
-8904208.4970999,1769371.81266917,Bajo Nuevo Bank (Petrel Is.),-99
-6994495.22185,2013370.18930384,St-Barthélemy,7448
3120682.34341983,7047607.24249732,Belarus,9648533
-9873358.507769,1932453.66565986,Belize,307899
-7209438.88270464,3781253.52356396,Bermuda,67837
-7200673.82856665,-1874453.495077,Bolivia,9775246
-5910228.1015318,-1199277.34560583,Brazil,198739269
-6630324.43074779,1470687.39543969,Barbados,284589
12771378.5775594,499933.691966772,Brunei,388190
10063778.4750336,3156591.03281792,Bhutan,691141
2649291.08449272,-2517715.84274896,Botswana,1990876
2278132.13900513,727682.19867842,Central African Rep.,4511488
-11211371.2306115,8512697.39181075,Canada,33487208
914528.990332662,5878158.51884345,Switzerland,7604467
-7944245.8022317,-4517110.6332233,Chile,16601707
11558477.6948643,4352514.88352568,China,1338612968
-619938.264065009,845993.025935715,Côte d'Ivoire,20617068
-12158455.5192736,1144888.38594291,Clipperton I.,-99
1417874.59149709,630558.079588624,Cameroon,18879301
3702204.46414046,4153180.01630706,Cyprus U.N. Buffer Zone,10000
2632162.01679164,-318567.738504315,Dem. Rep. Congo,68692542
1694097.43159696,-92761.9058784011,Congo,4012809
-17676544.8752399,-2236648.1735472,Cook Is.,11870
-8135656.08132888,432620.826312727,Colombia,45644023
4862453.52369382,-1323740.52727835,Comoros,752438
-2668020.92650886,1785603.33514792,Cape Verde,429474
-9372388.40418106,1108477.81258864,Costa Rica,4253877
17186656.7423476,-2380044.44292763,Coral Sea Is.,4
-8798159.52595343,2450856.44126486,Cuba,11451652
-7677850.61951956,1358754.99741035,Curaçao,141766
-9003189.33902329,2190989.85542147,Cayman Is.,49035
3740089.35986806,4176832.19187924,N. Cyprus,265100
3672429.07713834,4127908.95428712,Cyprus,531640
1704758.15927264,6367446.64497873,Czech Rep.,10211904
1155662.61321368,6606852.61809848,Germany,82329758
4738475.94545091,1308591.67125063,Djibouti,516055
-6830220.82299263,1728183.62617387,Dominica,72660
1118915.59291573,7516088.47116548,Denmark,5500510
-7847644.11612494,2128907.27148059,Dominican Rep.,9650054
295340.781093108,3247605.11512686,Algeria,34178188
-8768890.35560114,-157722.110110656,Ecuador,14573101
3324134.54802719,3041204.99623645,Egypt,83082869
4325089.98701178,1719127.19411464,Eritrea,5647168
3761819.26948032,4141780.5997345,Dhekelia,7850
-406609.69238391,4871417.67046621,Spain,40525002
2842631.49265309,8073085.89510537,Estonia,1299371
4408313.18151632,957144.826781869,Ethiopia,85237338
2924451.53054966,9438077.85052185,Finland,5250275
18190480.0007334,-1960181.99044752,Fiji,944720
-6609717.52966502,-6718477.16254027,Falkland Is.,3140
302381.384669627,5889014.06831397,France,64057792
-764826.659150209,8838925.65501941,Faeroe Is.,48856
17283534.6652111,772333.230634519,Micronesia,107434
1312408.84634272,-65423.1028331284,Gabon,1514993
-321373.969043989,7163396.48844654,United Kingdom,62262000
4843235.67677987,5157606.05991992,Georgia,4615807
-281691.747655314,6324950.62820186,Guernsey,68633
-135422.809901805,882379.298842326,Ghana,23832495
-595191.957467188,4293255.41943832,Gibraltar,28034
-1218176.00101793,1160320.94952201,Guinea,10057975
-1714050.99125461,1501227.61523181,Gambia,1782893
-1667289.20695485,1339874.61711451,Guinea-Bissau,1533964
1150251.54789172,188774.281759024,Eq. Guinea,650702
2557545.15174,4702081.47923931,Greece,10737428
-6863590.48690768,1354178.16297189,Grenada,90739
-4602586.65277803,12778378.8493309,Greenland,57600
-10058846.1636573,1757989.65045398,Guatemala,13276517
16115938.544018,1500552.43970866,Guam,178430
-6565636.33418803,530661.267240663,Guyana,772298
12705054.5475267,2541503.0752761,Hong Kong,7061200
8182562.56888081,-6965255.09580753,Heard I. and McDonald Is.,-99
-9643076.14037663,1657657.03342032,Honduras,7792854
1825478.09480576,5601928.53633482,Croatia,4489409
-8091911.08600466,2133820.66366821,Haiti,9035536
2159237.36468202,5937412.83120976,Hungary,9905596
13054484.9551015,-245864.828638284,Indonesia,240271522
-504688.628060845,7178971.16116628,Isle of Man,76512
8862781.58197391,2601861.97193041,India,1166079217
11646178.050288,-1189294.05024628,Indian Ocean Ter.,2069
8048267.25081033,-792061.812555578,Br. Indian Ocean Ter.,4000
-906702.219315916,6981803.69251352,Ireland,4203200
6042082.0668577,3815455.60209577,Iran,66429284
4869668.56814239,3877293.29140501,Iraq,31129225
-2070146.89124915,9569160.04041879,Iceland,306694
3895740.68319011,3668253.60215015,Israel,7233701
1343838.55046634,5250488.15198288,Italy,58126212
-8607090.60981488,2042418.3871764,Jamaica,2825928
-236824.514964044,6280081.30196855,Jersey,91626
4093320.3722153,3642522.04675982,Jordan,6342948
15359679.3964288,4490170.27440573,Japan,127078679
7055863.13888259,5746138.87460026,Baikonur,70000
8591633.04500493,4192408.37411278,Siachen Glacier,6000
7491352.51930991,6101773.28340845,Kazakhstan,15399437
4210374.75234411,60901.5097584513,Kenya,39002772
8297940.68687639,5052416.39143002,Kyrgyzstan,5431747
11677726.7538386,1417855.1777921,Cambodia,14494293
-5735718.28048723,68026.7157640108,Kiribati,112850
-6979570.15255345,1939719.80213194,St. Kitts and Nevis,40131
14228756.4530042,4326775.0783006,Korea,48508972
2323654.43920986,5218268.95746066,Kosovo,1804838
5298209.26576266,3398064.660697,Kuwait,2691158
11548047.0926163,2082873.86685669,Lao PDR,6834942
3994136.24709163,3994269.58679641,Lebanon,4017095
-1037482.51399264,714983.909396982,Liberia,3441790
2004820.07147303,3107841.70177696,Libya,6310434
-6787184.58975168,1552792.12111253,Saint Lucia,160267
1062088.16184045,5933327.27262683,Liechtenstein,34761
8983834.99478199,844648.356738267,Sri Lanka,21324791
3142395.92980571,-3428553.19079229,Lesotho,2130819
2659227.69938107,7390426.92779834,Lithuania,3555179
675905.673053838,6373352.57269741,Luxembourg,491775
2772815.15277832,7694086.87311553,Latvia,2231503
12640350.0860159,2514370.90476905,Macao,559846
-7019258.45045885,2033383.71194144,St-Martin,36661
-934686.873233447,3461958.69572671,Morocco,34859364
823650.054232004,5395718.56972648,Monaco,32965
3168308.23425858,5942614.14681801,Moldova,4320748
5199287.94923347,-2184752.86945329,Madagascar,20653556
8159970.05384119,423575.057906525,Maldives,396334
-11413621.6613498,2729877.14744962,Mexico,111211789
18935392.8202171,788733.338898981,Marshall Is.,64522
2413832.95973006,5072131.63113906,Macedonia,2066718
-393968.514792715,1948193.52426006,Mali,12666987
1603418.56429081,4264691.54958593,Malta,405165
10741138.5715,2396460.15768878,Myanmar,48137741
2141620.02666775,5250395.06046576,Montenegro,672180
11472173.3542667,5882511.93499024,Mongolia,3041142
16208112.8507575,1821841.32545677,N. Mariana Is.,88662
3956083.81163379,-1939600.20493458,Mozambique,21669278
-1151421.78197979,2288621.61482965,Mauritania,3129486
-6922669.56627695,1877993.82846804,Montserrat,5097
6439799.16488538,-2280286.91262291,Mauritius,1284264
3817135.07602743,-1474797.05657183,Malawi,14268711
12211622.1972261,419651.718054874,Malaysia,25715819
1915934.58351091,-2510960.73766375,Namibia,2108665
18445935.1496992,-2412687.54917984,New Caledonia,227436
1044848.52507834,1956807.54967072,Niger,15306252
18696683.9261939,-3359364.39759829,Norfolk Island,2141
900712.635595116,1066056.11410249,Nigeria,149229090
-9465867.93335427,1432580.58202857,Nicaragua,5891199
-18909769.1027961,-2146757.49028366,Niue,1398
580733.106410988,6779029.44143589,Netherlands,16715999
1715388.73136798,10647294.6339799,Norway,4676305
9341514.58348569,3260048.82396257,Nepal,28563377
18582911.2428972,-57585.9938997819,Nauru,14019
19088029.4469395,-5106972.7095937,New Zealand,4213418
6244205.97395976,2329432.78263675,Oman,3418085
7719043.02418067,3475603.86704049,Pakistan,176242949
-8919061.75327733,945022.050960649,Panama,3360474
-14302246.5866939,-2786133.20878538,Pitcairn Is.,48
-8279728.27420305,-1016632.09353116,Peru,29546963
12793619.563804,1172735.36583904,Spratly Is.,100
13678325.0189939,1310044.43831153,Philippines,97976603
14955554.6603052,798003.034193713,Palau,20796
16167099.2773344,-716974.668261027,Papua New Guinea,6057263
2158966.07694252,6788966.95054682,Poland,38482919
-7399139.41884755,2050406.82553023,Puerto Rico,3971020
14158033.381044,4860300.45591225,Dem. Rep. Korea,22665345
-956327.665895855,4778893.87906356,Portugal,10707924
-6500882.66603375,-2642711.40103461,Paraguay,6995655
3918202.54952633,3729712.9441598,Palestine,4119083
-16147119.2712175,-1699777.44795123,Fr. Polynesia,287032
5698091.99492,2895984.60255398,Qatar,833285
2779975.17454644,5726224.30081793,Romania,22215421
10763900.2010184,8817721.37867917,Russia,140041247
3330574.60264836,-220391.978679215,Rwanda,10473282
-1359763.30810871,2764240.87797891,W. Sahara,-99
4957820.98499162,2750864.8369436,Saudi Arabia,28686633
13108294.3867252,1695574.72830057,Scarborough Reef,-99
3332863.00936381,1791441.91376889,Sudan,25946220
3373105.20570054,807578.148256521,S. Sudan,10625176
-1610938.42132291,1605849.38113947,Senegal,13711597
-8753955.33370483,1777357.99041902,Serranilla Bank,-99
11556462.3571745,150275.98602628,Singapore,4657542
-3994401.21401333,-7264966.22834549,S. Geo. and S. Sandw. Is.,30
-1128603.51108297,-2846867.87346674,Saint Helena,7637
17770831.3868154,-989218.534032738,Solomon Is.,595613
-1313015.12807741,950449.046438438,Sierra Leone,6440053
-9893065.9301769,1533788.79095925,El Salvador,7185218
1385061.87958358,5425957.32993261,San Marino,30324
5149062.91022002,1081279.9975939,Somaliland,3500000
5087984.71996071,525709.482488465,Somalia,9832017
-6268157.13123175,5899501.45875245,St. Pierre and Miquelon,7051
2314377.01922676,5469953.63460777,Serbia,7379339
748784.195605304,49124.2307771242,São Tomé and Principe,212679
-6223991.99306765,457211.062321803,Suriname,481267
2168546.31281234,6192822.42998542,Slovakia,5463046
1648429.00887978,5768165.73762123,Slovenia,2005692
1865098.67271513,9007767.34124223,Sweden,9059651
3504340.25330692,-3049743.13032612,Swaziland,1123913
-7020934.87019533,2029078.75655971,Sint Maarten,37429
5795547.82388371,-719186.093105033,Seychelles,87476
4286308.49433228,4142485.08677429,Syria,20178485
-8000899.89253068,2469289.84631186,Turks and Caicos Is.,22942
2075691.17921423,1716324.0399847,Chad,10329208
107119.587481099,946389.796095575,Togo,6019877
11243639.6371019,1691252.85064814,Thailand,65905410
7905446.49053873,4627933.28854068,Tajikistan,7349145
6609701.70220288,4711330.17118503,Turkmenistan,4884887
14009677.6789069,-979614.464137755,Timor-Leste,1131612
-19466273.7419502,-2266263.59603865,Tonga,120898
-6819259.44289343,1164165.08565499,Trinidad and Tobago,1310000
1063616.12859583,4020879.73071831,Tunisia,10486339
3914799.18554167,4703494.86946319,Turkey,76805524
19872794.8102903,-860623.03503867,Tuvalu,12373
13464078.5332198,2706132.41520078,Taiwan,22974347
3875430.71302076,-695274.265082583,Tanzania,41048532
3603082.39489094,141070.441792252,Uganda,32369558
3493845.44037588,6242150.89053896,Ukraine,45700395
-11496757.7696672,1484590.75805317,U.S. Minor Outlying Is.,-99
-6235801.17757973,-3845406.62323009,Uruguay,3494382
-11113281.2160132,4741085.9772488,United States,313973000
-8366179.92166952,2250094.2512718,USNB Guantanamo Bay,7000
7028702.50640283,5096041.42939602,Uzbekistan,27606007
1386308.12027225,5117961.93762573,Vatican,832
-6813126.12044809,1474682.30395913,St. Vin. and Gren.,104574
-7365881.61193228,790211.797056152,Venezuela,26814843
-7180425.8854422,2083758.62074783,British Virgin Is.,24491
-7213241.89800327,2022088.24640882,U.S. Virgin Is.,109825
11833365.9796392,1866981.86194522,Vietnam,86967524
18668372.5753718,-1816127.26538446,Vanuatu,218519
-19710117.2776641,-1534045.37733842,Wallis and Futuna Is.,15289
3666195.53764224,4089675.30217511,Akrotiri,7850
-19164902.6063025,-1535923.64396023,Samoa,219998
5297761.59755103,1782069.34340311,Yemen,23822783
2792712.63427596,-3355065.62524808,South Africa,49052489
3091811.17429383,-1502408.24760576,Zambia,11862740
3323096.59518216,-2141328.49339404,Zimbabwe,12619600
